5086,78.3%
5089,78.2%
5094,78.3%
5098,78.4%
5103,78.5%
5109,78.6%
5119,78.7%
5120,78.8%
5127,78.9%
5133,79.0%
5143,78.9%
5144,79.1%
5150,79.2%
5154,79.3%
5172,79.4%
5174,79.3%
5177,79.4%
5185,79.5%
5192,79.7%
5193,79.6%
5196,79.7%
5205,79.8%
5206,79.7%
5210,79.8%
5212,79.7%
5215,79.8%
5221,79.9%
5222,80.0%
5224,80.1%
5225,80.2%
5226,80.3%
5239,80.5%
5255,80.6%
5256,80.7%
5271,80.8%
5277,80.9%
5279,81.0%
5280,81.1%
5287,81.2%
5293,81.1%
5295,81.2%
5299,81.4%
5300,81.3%
5303,81.4%
5305,81.5%
5307,81.6%
5329,81.9%
5330,81.8%
5337,81.9%
5338,82.1%
5339,82.2%
5345,82.3%
5351,82.4%
5352,82.6%
5355,82.7%
5362,82.8%
5374,82.9%
5376,82.8%
5377,82.9%
5378,82.8%
5382,82.9%
5385,83.0%
5407,83.1%
5410,83.3%
5416,83.4%
5421,83.5%
5434,83.6%
5440,83.7%
5448,83.6%
5449,83.7%
5452,83.8%
5473,83.9%
5477,84.0%
5483,84.1%
5484,84.2%
5485,84.3%
5487,84.4%
5492,84.5%
5494,84.6%
5505,84.7%
5506,84.8%
5529,84.9%
5545,85.0%
5565,85.1%
5585,85.2%
5590,85.3%
5591,85.4%
5596,85.5%
5615,85.6%
5626,85.8%
5627,85.9%
5631,86.0%
5632,86.1%
5634,86.0%
5635,86.1%
5647,86.3%
5652,86.4%
5654,86.5%
5666,86.6%
5668,86.7%
5683,86.8%
5689,86.9%
5694,87.0%
5718,87.1%
5725,87.2%
5738,87.4%
5747,87.6%
5755,87.7%
5756,87.6%
5758,87.7%
5763,87.8%
5791,87.9%
5796,88.0%
5804,88.1%
5832,88.2%
5847,88.3%
5856,88.4%
5858,88.5%
5864,88.4%
5873,88.5%
5886,88.6%
5894,88.7%
5905,88.8%
5940,88.9%
5951,89.0%
5955,89.1%
5972,89.2%
5973,89.3%
5988,89.6%
6016,89.7%
6030,89.8%
6032,89.7%
6040,89.8%
6055,89.9%
6097,90.0%
6112,90.1%
6114,90.2%
6119,90.1%
6120,90.3%
6123,90.4%
6139,90.5%
6159,90.7%
6173,90.8%
6187,90.9%
6194,91.0%
6196,91.1%
6210,91.2%
6223,91.1%
6226,91.2%
6228,91.1%
6242,91.2%
6262,91.3%
6267,91.5%
6277,91.4%
6298,91.5%
6326,91.4%
6328,91.5%
6346,91.7%
6353,91.8%
6357,91.7%
6362,91.8%
6367,92.0%
6372,92.1%
6374,92.0%
6378,92.1%
6386,92.2%
6400,92.3%
6417,92.4%
6440,92.3%
6467,92.4%
6472,92.5%
6476,92.4%
6477,92.5%
6489,92.4%
6491,92.5%
6505,92.6%
6518,92.8%
6524,92.7%
6525,92.8%
6531,92.7%
6543,92.8%
6560,92.9%
6562,93.0%
6564,93.1%
6574,93.2%
6593,93.3%
6606,93.2%
6608,93.3%
6618,93.4%
6643,93.5%
6664,93.6%
6688,93.8%
6717,93.7%
6719,93.8%
6722,94.0%
6739,94.1%
6745,94.2%
6750,94.4%
6755,94.5%
6768,94.6%
6770,94.8%
6779,94.7%
6781,94.8%
6806,94.7%
6809,94.8%
6880,95.0%
